"","var_id","code","original_1","original_2","original_3","code_description","shortname"
"216","line_12",40,5,3,NA,"Rhythmic heterophony and rhythmic unison","RhythmicHeterophonyAndRhythmicUnison"
"217","line_12",8192,13,NA,NA,"Rhythmic counterpoint. Two or more rhythmic patterns, equal to and distinct from one another, occur simultaneously within the same rhythmic framework, but without conflict of pulse. ","RhythmicCounterpoint"
"218","line_12",10240,13,11,NA,"Rhythmic counterpoint and complex polyrhythm","RhythmicCounterpointAndComplexPolyrhythm"
"219","line_12",128,7,NA,NA,"Accompanying rhythm. The singing group is divided into two or more parts, one of which accompanies the other. The accompanying part has independent rhythmic patterns but these are subordinate to the main part.","AccompanyingRhythm"
"220","line_12",2048,11,NA,NA,"Complex polyrhythm. Two or more conflicting pulses are heard simultaneously and more or less continuously throughout the song. (For a fuller explanation of 9 and 11, see explanatory note below.)","ComplexPolyrhythm"
"221","line_12",136,7,3,NA,"Accompanying rhythm and rhythmic unison","AccompanyingRhythmAndRhythmicUnison"
"222","line_12",10,3,1,NA,"Rhythmic unison and non patterened","RhythmicUnisonAndNonPatterened"
"223","line_12",160,7,5,NA,"Accompanying rhythm and rhythmic heterophony","AccompanyingRhythmAndRhythmicHeterophony"
"224","line_12",34,5,1,NA,"Rhythmic heterophony and non patterened","RhythmicHeterophonyAndNonPatterened"
"225","line_12",8200,13,3,NA,"Rhythmic counterpoint and rhythmic unison","RhythmicCounterpointAndRhythmicUnison"
"226","line_12",8704,13,9,NA,"Rhythmic counterpoint and simple polyrhythm","RhythmicCounterpointAndSimplePolyrhythm"
"227","line_12",0,0,NA,NA,"No Reading","No Reading"
"228","line_12",8224,13,5,NA,"Rhythmic counterpoint and rhythmic heterophony","RhythmicCounterpointAndRhythmicHeterophony"
"229","line_12",8320,13,7,NA,"Rhythmic counterpoint and accompanying rhythm","RhythmicCounterpointAndAccompanyingRhythm"
"230","line_13",64,6,NA,NA,"Simple meter. One simple meter (duple, triple, simple, or compound) runs through the whole piece.","SimpleMeter"
"231","line_13",2,1,NA,NA,"Non-occurrence. No instruments","NonOccurence"
"232","line_13",2048,11,NA,NA,"Irregular meter. No one meter prevails throughout. A piece that is basically in 3/4, but has one or more measures in 2/4, is coded 11, as well as a piece in which the meter shifts continually from measure to measure—for example, 3/4, 2/4, 3/4, 3/4, 5/4, 3/2, etc.","IrregularMeter"
"233","line_13",8,3,NA,NA,"One-beat rhythm. A series of equally accented single notes of about the same length.","OneBeat"
"234","line_13",512,9,NA,NA,"Complex meter. Here, as with 6, one meter prevails throughout the piece, however the measure cannot be evenly divided by two or three to form subunits of two or three beats each.","ComplexMeter"
"235","line_13",8192,13,NA,NA,"Parlando rubato. Free rhythm in which no regularly recurring beat can be distinguished.","ParlandoRubato"
"236","line_13",8256,13,6,NA,"Parlando rubato and simple meter","ParlandoRubatoAndSimpleMeter"
"237","line_13",72,6,3,NA,"Simple meter and one beat","SimpleMeterAndOneBeat"
"238","line_13",10240,13,11,NA,"Parlando rubato and irregular meter","ParlandoRubatoAndIrregularMeter"
"239","line_13",8704,13,9,NA,"Parlando rubato and complex meter","ParlandoRubatoAndComplexMeter"
"240","line_13",2560,11,9,NA,"Irregular meter and complex meter","IrregularMeterAndComplexMeter"
"241","line_13",10,3,1,NA,"One beat and non occurence","OneBeatAndNonOccurence"
"242","line_13",0,0,NA,NA,"No Reading","No Reading"
"243","line_13",66,6,1,NA,"Simple meter and non occurence","SimpleMeterAndNonOccurence"
"244","line_13",576,9,6,NA,"Complex meter and simple meter","ComplexMeterAndSimpleMeter"
